comment,time,sg,id,type,temp,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
,1612392639677,,manual,manual,15.7,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,a50oLlLVU2PPw35rgnGy,2021-02-03T22:50:39.677Z
,1612375426281,,manual,manual,15.2,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,ziKXHs7pF3gQ4AckNNau,2021-02-03T18:03:46.281Z
,1612337686838,,manual,manual,15.1,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,J5uDnpNIGWM3xnCbFJ6d,2021-02-03T07:34:46.838Z
,1612305889983,,manual,manual,15.9,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,FTXe2ajG2xBBK9cbSb07,2021-02-02T22:44:49.983Z
,1612274578752,,manual,manual,15.6,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,XVOLQfWK5GAQQJZtfEx1,2021-02-02T14:02:58.752Z
,1612246698298,,manual,manual,15,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,oJsCfhSUCqQsIDYnxJM6,2021-02-02T06:18:18.298Z
,1612219751693,,manual,manual,15.5,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,F34ojGVtOlP0T7yWdYRm,2021-02-01T22:49:11.693Z
,1612213675506,,manual,manual,15.3,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,Q2JUTItLq2Vk7X3pggIA,2021-02-01T21:07:55.506Z
,1612186258272,,manual,manual,15.9,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,oeEdO4CZ1udKWkqxLB4C,2021-02-01T13:30:58.272Z
,1612169904483,,manual,manual,15.6,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,yLr1J2CF9kSvocPsUBUw,2021-02-01T08:58:24.483Z
,1612128518120,,manual,manual,15.2,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,BBrd6q2CWqeTp5707BpH,2021-01-31T21:28:38.120Z
,1612110776558,,manual,manual,15.6,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,D6yZNHhQrt4thYXCJUJ5,2021-01-31T16:32:56.558Z
,1612035579880,,manual,manual,15.1,FytnCLp7t9m97g0WJedlEB7xTN5mdq$0$manual$manual$0,vQrmDRQbDiYhDFpjBDWA,2021-01-30T19:39:39.880Z
