id,comment,time,temp,sg,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
manual,,1645898400000,16.8,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,ZYkHr9FjIkCzT63CBPCV9zkVwn81RP,2022-02-26T18:00:00.000Z
manual,,1645887600000,16.8,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,CQBoYkRjCJ2uihtqwkuIx8iAqxWGdX,2022-02-26T15:00:00.000Z
manual,,1645873200000,17,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,zAjrOhCPzabotkTHtYywkDkb2CouZW,2022-02-26T11:00:00.000Z
manual,,1645858800000,16.4,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,PI05LPB0ccqumJbbNWstOHbodLavXp,2022-02-26T07:00:00.000Z
manual,,1645844400000,17.4,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,K4w1VK01FRoE1wPoovs9mF6Ao3jxFO,2022-02-26T03:00:00.000Z
manual,,1645830000000,16.5,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,Ye0unII9Zv2RLxc7p8Ts5S0AcVUZBA,2022-02-25T23:00:00.000Z
manual,,1645815600000,17.4,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,iaZZTipZofRP21SpQrmQW7jJfnt21h,2022-02-25T19:00:00.000Z
manual,,1645801200000,16.5,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,RVq3kfK6RKBb3F3rAjC07GokDDTjFB,2022-02-25T15:00:00.000Z
manual,,1645786800000,17,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,eHwpTm7DhNSLiWq3T4f7zhayYne9mR,2022-02-25T11:00:00.000Z
manual,,1645772400000,16.5,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,uE1ouepodFzO60MkKqGLP5sdkEce3J,2022-02-25T07:00:00.000Z
manual,,1645758000000,17.1,,manual,GAu5Ydo5jnmDhWq5oqFhfLIksiEsAM$0$manual$manual$0,tTgFhTOTvmgVfccW5q8LVkLSFUh2mQ,2022-02-25T03:00:00.000Z
