temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.4,,,manual,manual,1623912540000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Zau05RRDtZoSX5E4iaUNp41R6CVj7s,2021-06-17T06:49:00.000Z,
19.6,,,manual,manual,1623877920000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,zAfyYAI3VuzJH1Bt1BvmB1IGyjTeKJ,2021-06-16T21:12:00.000Z,
19.1,,,manual,manual,1623856500000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,YlFfWRDh1Yz0U77qGZ1osTxA1ZGFFM,2021-06-16T15:15:00.000Z,
19.9,,,manual,manual,1623828660000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,oPHKJO4Zou6kuMGDAk520YJQW9SgW4,2021-06-16T07:31:00.000Z,
19.9,,,manual,manual,1623794100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Dhfhxz76sDw86wPQvnzxSJC3l5cZ0t,2021-06-15T21:55:00.000Z,
19.8,,,manual,manual,1623778380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,qEm99Gq4O3u8YrNkm3MbLcrqDq7hm3,2021-06-15T17:33:00.000Z,
19.5,,,manual,manual,1623735060000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,hY7HTcQCqkyxXUmu0KHiT8tYUKD4yk,2021-06-15T05:31:00.000Z,
19,,,manual,manual,1623706620000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,xbqaerOUHKLuDuANc4LWFlqNANkDiF,2021-06-14T21:37:00.000Z,
19.7,,,manual,manual,1623681821131,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LYaSLb43qb012J0c4ufMOkNsTeMcZw,2021-06-14T14:43:41.131Z,
19.5,,,manual,manual,1623650797319,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,JQGMNF57eYeiuYONVJMaZZ4vw3Juy9,2021-06-14T06:06:37.319Z,
19.4,,,manual,manual,1623618120000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,dEoCi66PudIm85F143uFe0JYssmWM7,2021-06-13T21:02:00.000Z,
19.5,,,manual,manual,1623585000000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Cq9UxoFSZQ2z9P0g4pf9ssndP69tcW,2021-06-13T11:50:00.000Z,
19.8,,,manual,manual,1623566100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,h9tl0jhR9ULqLr04MJhLhX3Kuhk7ac,2021-06-13T06:35:00.000Z,
19.3,,,manual,manual,1623534865345,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,iqjcy6vvo32F6yMMKa2NMI15eIfEYA,2021-06-12T21:54:25.345Z,
19.7,,,manual,manual,1623509100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,3PiRSirXRnEqNNscv6WdGeJG17scM9,2021-06-12T14:45:00.000Z,
19.7,NaN,,manual,manual,1623485280000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,15zp40DfnsAPkSbscO2SxanuWIW977,2021-06-12T08:08:00.000Z,NaN
19.4,,,manual,manual,1623445740000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,7le0X0p4Fy8ykrFV89FY9J82H0pI15,2021-06-11T21:09:00.000Z,
19.2,,,manual,manual,1623432038213,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,MtPPxlMdCooAYTnD3FJmIHILp4qZdD,2021-06-11T17:20:38.213Z,
19.8,,,manual,manual,1623398760000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,fQPBuUeWfj7ShHbjv7d7bAR62FjEwr,2021-06-11T08:06:00.000Z,
