temp,sg,time,comment,id,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint,pressure,ph
16.8,,1687701600000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,zx2S8oREh2gFmlYqRDmpFnPFIcLNkC,2023-06-25T14:00:00.000Z
16.6,,1687687200000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,gBil7OcIkedYMMKgxr985YlA1gWjCi,2023-06-25T10:00:00.000Z
18,,1687672800000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,47sftjec4b00xLbmvaEqCIdqEwXVio,2023-06-25T06:00:00.000Z
17,,1687658400000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,Ltxw6h3Rvm4Et0QcjlaYwOixUPkL0L,2023-06-25T02:00:00.000Z
16.3,,1687644000000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,HFGlaFj4IcFtVv4Dnv2U2l7eE0Z55w,2023-06-24T22:00:00.000Z
17,,1687629600000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,nJcS8vs8MlgN5KGR7P7ncpsekZcRRP,2023-06-24T18:00:00.000Z
16.7,,1687615200000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,4nlTeCiBILIuVMlppHwmiM4z8bImVQ,2023-06-24T14:00:00.000Z
17.1,,1687600800000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,xQVMis3z5TVTrvm2F8Y2WxpKJlF8Gn,2023-06-24T10:00:00.000Z
16.5,,1687586400000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,lppoydvA2pbWj6KE0PCktEfevs0Fd0,2023-06-24T06:00:00.000Z
16.4,,1687572000000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,u5IWtq8wqeP9IqChlOkA3A39mu5XjS,2023-06-24T02:00:00.000Z
17.4,,1687557600000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,KRyjZs0EGXt7rcYzT6Pm4HkcbcALp6,2023-06-23T22:00:00.000Z
16.4,,1687543200000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,TLXqv5KIggCzSCb2C95vBNMPLKiRH8,2023-06-23T18:00:00.000Z
17.7,,1687528800000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,0yey3EA8GY9iwwKA9h0bBhtWp1D6Mb,2023-06-23T14:00:00.000Z
16.7,,1687514400000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,FwBqpI4toFKfL6N4sZ5oKc1bOkeYhT,2023-06-23T10:00:00.000Z
16.2,,1687500000000,,manual,manual,R6Qw4Kt8oJpLmUsd2eMm5U08M1B9dM$0$manual$manual$0,SnloDMJAn45Q3LMW6URIUZf4igBDl9,2023-06-23T06:00:00.000Z
