id,type,sg,comment,time,temp,__acc_reading_doc_id,__acc_reading_data_id,timepoint,pressure,ph
manual,manual,,,1662141600000,19.7,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,yAV9bSsOdJD2ikcZ9q9enXX4UIR9iA,2022-09-02T18:00:00.000Z
manual,manual,,,1662127200000,19.3,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,fkPneilUrDRJvnv4dxQ9GFgzxzAGr2,2022-09-02T14:00:00.000Z
manual,manual,,,1662112800000,19.3,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,H2T2uzxh5iJsgRqUfIABws8scjTplt,2022-09-02T10:00:00.000Z
manual,manual,,,1662098400000,19.6,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,wyH16cnLxh28RcC7c9ms7XYFFz78op,2022-09-02T06:00:00.000Z
manual,manual,,,1662084000000,19.7,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,rHwD4XNou1ZEQhbKq25CHXqF2HrOl5,2022-09-02T02:00:00.000Z
manual,manual,,,1662069600000,19.7,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,0HbFUSxAeztNLvhvBrSikeJpTdC9me,2022-09-01T22:00:00.000Z
manual,manual,,,1662055200000,19.5,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,N1zCRM4YeksrMtdGMfIrG6GOazUlyD,2022-09-01T18:00:00.000Z
manual,manual,,,1662040800000,19.2,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,EuE1NNaG4j4ZmOE1WZrCJw5i0rcoPB,2022-09-01T14:00:00.000Z
manual,manual,,,1662026400000,19.2,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,go4D7L9CyJstzFna72zUO7lJuDtPOV,2022-09-01T10:00:00.000Z
manual,manual,,,1662012000000,19.5,caV94IxYIflnlHyoPBlQn9L5dNDRo4$0$manual$manual$0,5ZAzVcyzQzR3nMKk9I15QIA1yJMJ0o,2022-09-01T06:00:00.000Z
