type,time,temp,id,sg,comment,__acc_reading_doc_id,__acc_reading_data_id,timepoint,pressure,ph
manual,1668547800000,17.4,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,ifh0S0jQBsDQOJM7MrevdGIsErAgli,2022-11-15T21:30:00.000Z
manual,1668531600000,17.2,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,DTImPZjDsw5OK8uFZMjpkNYt9yysGV,2022-11-15T17:00:00.000Z
manual,1668492000000,17,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,x9ahxgy8eTjZSJRctgzosTTU64PoLS,2022-11-15T06:00:00.000Z
manual,1668440721809,17,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,1CwtsmmozSuVKO2YwvkHJIg6t33gSu,2022-11-14T15:45:21.809Z
manual,1668427200000,17.1,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,G333q6UuI7y536kLJrOyuhr9v663bB,2022-11-14T12:00:00.000Z
manual,1668409200000,17.5,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,baLlVFh4gxlHurQpcnJUvTeHZJ94eM,2022-11-14T07:00:00.000Z
manual,1668375000000,17.1,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,9mFTnmPzkXZoReVRMG5vYIqykhFgLw,2022-11-13T21:30:00.000Z
manual,1668358800000,17.1,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,f0EVQ5FaLs5H7oPi2BPMDUllS4IeuQ,2022-11-13T17:00:00.000Z
manual,1668322800000,17.5,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,MNdVN971WKhy22m05ovNzFVirJl93L,2022-11-13T07:00:00.000Z
manual,1668283200000,17.8,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,90cfIDIRFVgi1RrNMlggOPESnY7Xmq,2022-11-12T20:00:00.000Z
manual,1668261600000,17.7,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,QVFtdKODej9qjLoahPuLV3Duf7xgTP,2022-11-12T14:00:00.000Z
manual,1668241800000,17.9,manual,,,oXXNfFgUYlGQnolPtiE3Mg0OlDuILR$0$manual$manual$0,2al2Izv6tozJIaaMqlNiNgIHGsOARE,2022-11-12T08:30:00.000Z
