temp,type,comment,sg,time,id,__acc_reading_doc_id,__acc_reading_data_id,timepoint,pressure,ph
17,manual,,,1737931500000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,ffuYH1PRREwAGZxq0qVhGcoEQgApBn,2025-01-26T22:45:00.000Z
16.5,manual,,,1737918000000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,sfqtGDPzFwpjmHnziprswbYHmp8HJM,2025-01-26T19:00:00.000Z
16.7,manual,,,1737903600000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,zdHfapg4hVZVklkYQNgCHPnwj1TTQ0,2025-01-26T15:00:00.000Z
16.9,manual,,,1737889200000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,M7N1gfmyIM6QQMiNwR0VLgpxr0cjSG,2025-01-26T11:00:00.000Z
16.9,manual,,,1737874800000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,3BINGtv6n2zwgpXrvTuI4jMx2UsS3E,2025-01-26T07:00:00.000Z
16.9,manual,,,1737860400000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,UI3UnbA8oWDOXk7d2fmCdX87kuU1Ww,2025-01-26T03:00:00.000Z
16.9,manual,,,1737846000000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,HpIMCaVZgUa9IfNmW3BAUZfKTMLeZH,2025-01-25T23:00:00.000Z
16.8,manual,,,1737831600000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,gFSKTroCQmFaGhFbgLocqHLFMRNrQZ,2025-01-25T19:00:00.000Z
17.1,manual,,,1737817200000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,lr6op4ml0lfVEk1Cx6k2ExfFrz2zaM,2025-01-25T15:00:00.000Z
17.4,manual,,,1737802800000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,IbU9VDUsYhH9fbGynqksSDlW4PlzXi,2025-01-25T11:00:00.000Z
17.1,manual,,,1737788400000,manual,lhPgXholH77Fn9BvNjdSwlZuhxpV9l$0$manual$manual$0,7B1fWfAejjSvmVZcgzIkAkFPYzwY6n,2025-01-25T07:00:00.000Z
