type,comment,time,id,temp,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,pressure,ph
manual,,1680458400000,manual,18,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,4Rk1kZct52nRQyYMN7VfZbqPlQUNqv,2023-04-02T18:00:00.000Z
manual,,1680444000000,manual,18.4,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,GLcXWKUE8aChrwrPXoKbixCkPu7Yo4,2023-04-02T14:00:00.000Z
manual,,1680429600000,manual,17.8,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,IFxhktW8OqEHfXqfpfBnDqYUFUPEc0,2023-04-02T10:00:00.000Z
manual,,1680415200000,manual,17.7,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,7bOGf80rTmZFnEs7ggnDMFo6UQm3q4,2023-04-02T06:00:00.000Z
manual,,1680400800000,manual,18.5,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,ggfGEWP6lc3LtDCg7XU2dgKTSfvIQ3,2023-04-02T02:00:00.000Z
manual,,1680386400000,manual,17.8,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,6ktry3EIQM0wL39eeonmD1qJD4IvuT,2023-04-01T22:00:00.000Z
manual,,1680372000000,manual,17.7,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,eBdibItrKcygkvxExeV8Cpcdnxwh05,2023-04-01T18:00:00.000Z
manual,,1680357600000,manual,18.1,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,mZZFl7cqSVuXcO89EfNKPODbRzAqO5,2023-04-01T14:00:00.000Z
manual,,1680343200000,manual,18.5,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,XJP7fgXARLnrhdUaDWW4PUhmKQkdr7,2023-04-01T10:00:00.000Z
manual,,1680328800000,manual,17.5,,Ka7BiotC6nUAPG53kcgNIz187lsKTH$0$manual$manual$0,Si71Sh0p2lG8QiqJO9wVA5zCAmIGWQ,2023-04-01T06:00:00.000Z
