temp,comment,time,id,sg,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.1,no bubbles.,1776448800000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,ukFqwzFWFrMEMp7rHVQHYZruGSwoPB,2026-04-17T18:00:00.000Z,,652.66982
19.2,no bubbles.,1776434400000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,c85VlSnpa8j0Rf7utiZmwAOFV7dEu1,2026-04-17T14:00:00.000Z,,652.66982
19.2,no bubbles.,1776420000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,vnbQ5fSfWA1oU7cD58PQEuJ6N7Mlrx,2026-04-17T10:00:00.000Z,,652.66982
19.3,no bubbles.,1776405600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,DZz40wSyB5fOT0jq8RtcjplsewdmPn,2026-04-17T06:00:00.000Z,,652.66982
19.6,no bubbles.,1776369600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,BBMZ7lIZXewcJKYZYmhsIRersRFvzr,2026-04-16T20:00:00.000Z,,652.66982
20.1,no bubbles.,1776354300000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,2Lhh2WDTZL00wUzqi2gDPYECGAuKgh,2026-04-16T15:45:00.000Z,,652.66982
19.2,no bubbles.,1776317400000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,BlaeULVWlui7UzDpKkUDUIdhx4r8Ug,2026-04-16T05:30:00.000Z,,652.66982
19.2,no bubbles.,1776279600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,EU3LAojFu2H2rDdOkhNVdqm0ucpo8B,2026-04-15T19:00:00.000Z,,652.66982
19.1,no bubbles.,1776231000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,hf2zebLX5mucqrwrbRyIPifkeVnmX8,2026-04-15T05:30:00.000Z,,696.181141
19.1,no bubbles.,1776202200000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,5W2qJQPP1S0iY9o2kvC0OkI10XpQhV,2026-04-14T21:30:00.000Z,,696.181141
19.1,no bubbles.,1776186900000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,zYd52AIOldE0t4aerOqdQtwPu8GK5Y,2026-04-14T17:15:00.000Z,,696.181141
20,no bubbles.,1776145500000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,syo8oKYk5Ufs6AhEhE6Qfs2UPx6YO3,2026-04-14T05:45:00.000Z,,696.181141
